enc,bench,method,top_k,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,-0.0033525405971712944,0.0,-0.10019302368164062
bert-base-uncased,scifact,random,10,0,5,0,-0.0033525405971712944,0.0,-0.10019302368164062
bert-base-uncased,scifact,random,20,0,5,0,-0.0033525405971712944,0.0,-0.10019302368164062
bert-base-uncased,scifact,greedy,1,0,5,0,0.05461847389558233,0.25,-0.10639208555221558
bert-base-uncased,scifact,greedy,10,0,5,0,0.05461847389558233,0.25,-0.10639208555221558
bert-base-uncased,scifact,greedy,20,1,5,0,0.05461847389558233,0.25,-0.10639208555221558
bert-base-uncased,scifact,ggpp,1,1,5,0,0.9879518072289156,1.0,-0.12189894914627075
bert-base-uncased,scifact,ggpp,10,1,5,0,0.9879518072289156,1.0,-0.12189894914627075
bert-base-uncased,scifact,ggpp,20,1,5,0,0.9879518072289156,1.0,-0.12189894914627075
bert-base-uncased,scifact,de,1,0,1,150,0.03795180722891567,0.227670248696953,-0.011555075645446777
bert-base-uncased,scifact,de,10,0,1,150,0.03795180722891567,0.227670248696953,-0.011555075645446777
bert-base-uncased,scifact,de,20,1,1,150,0.03795180722891567,0.227670248696953,-0.011555075645446777
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,-0.0004087838322408524,0.0,-0.04525291919708252
bert-base-uncased,scifact,random,10,0,5,0,-0.0004087838322408524,0.0,-0.04525291919708252
bert-base-uncased,scifact,random,20,0,5,0,-0.0004087838322408524,0.0,-0.04525291919708252
bert-base-uncased,scifact,greedy,1,0,5,0,0.05266538214515093,0.23540891336663824,-0.04289525747299194
bert-base-uncased,scifact,greedy,10,0,5,0,0.05266538214515093,0.23540891336663824,-0.04289525747299194
bert-base-uncased,scifact,greedy,20,1,5,0,0.05266538214515093,0.23540891336663824,-0.04289525747299194
bert-base-uncased,scifact,ggpp,1,1,5,0,0.9971098265895953,1.0,0.036605119705200195
bert-base-uncased,scifact,ggpp,10,1,5,0,0.9971098265895953,1.0,0.036605119705200195
bert-base-uncased,scifact,ggpp,20,1,5,0,0.9971098265895953,1.0,0.036605119705200195
bert-base-uncased,scifact,de,1,1,1,28,0.9971098265895953,1.0,0.031400084495544434
bert-base-uncased,scifact,de,10,1,1,28,0.9971098265895953,1.0,0.031400084495544434
bert-base-uncased,scifact,de,20,1,1,28,0.9971098265895953,1.0,0.031400084495544434
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,-0.0011513781434729494,0.0,-0.03815889358520508
bert-base-uncased,scifact,random,10,0,5,0,-0.0011513781434729494,0.0,-0.03815889358520508
bert-base-uncased,scifact,random,20,0,5,0,-0.0011513781434729494,0.0,-0.03815889358520508
bert-base-uncased,scifact,greedy,1,0,5,0,0.0725562646960027,0.26264953503719357,-0.1566014289855957
bert-base-uncased,scifact,greedy,10,0,5,0,0.0725562646960027,0.26264953503719357,-0.1566014289855957
bert-base-uncased,scifact,greedy,20,1,5,0,0.0725562646960027,0.26264953503719357,-0.1566014289855957
bert-base-uncased,scifact,ggpp,1,0,5,0,0.19563318777292577,0.38685280723454163,0.0188676118850708
bert-base-uncased,scifact,ggpp,10,1,5,0,0.19563318777292577,0.38685280723454163,0.0188676118850708
bert-base-uncased,scifact,ggpp,20,1,5,0,0.19563318777292577,0.38685280723454163,0.0188676118850708
bert-base-uncased,scifact,de,1,0,2,150,0.05118874332848132,0.23540891336663824,0.035196661949157715
bert-base-uncased,scifact,de,10,0,2,150,0.05118874332848132,0.23540891336663824,0.035196661949157715
bert-base-uncased,scifact,de,20,1,2,150,0.05118874332848132,0.23540891336663824,0.035196661949157715
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,0.0037330316742081454,0.0,-0.016919970512390137
bert-base-uncased,scifact,random,10,0,5,0,0.0037330316742081454,0.0,-0.016919970512390137
bert-base-uncased,scifact,random,20,0,5,0,0.0037330316742081454,0.0,-0.016919970512390137
bert-base-uncased,scifact,greedy,1,0,5,0,0.052941176470588235,0.23981246656813146,-0.0554237961769104
bert-base-uncased,scifact,greedy,10,0,5,0,0.052941176470588235,0.23981246656813146,-0.0554237961769104
bert-base-uncased,scifact,greedy,20,1,5,0,0.052941176470588235,0.23981246656813146,-0.0554237961769104
bert-base-uncased,scifact,ggpp,1,0,5,0,0.041736694677871146,0.0,0.0008561611175537109
bert-base-uncased,scifact,ggpp,10,0,5,0,0.041736694677871146,0.0,0.0008561611175537109
bert-base-uncased,scifact,ggpp,20,0,5,0,0.041736694677871146,0.0,0.0008561611175537109
bert-base-uncased,scifact,de,1,0,2,150,0.13697478991596637,0.3333333333333333,-0.0037170052528381348
bert-base-uncased,scifact,de,10,1,2,150,0.13697478991596637,0.3333333333333333,-0.0037170052528381348
bert-base-uncased,scifact,de,20,1,2,150,0.13697478991596637,0.3333333333333333,-0.0037170052528381348
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,-0.00044611908491026266,0.0,-0.023904800415039062
bert-base-uncased,scifact,random,10,0,5,0,-0.00044611908491026266,0.0,-0.023904800415039062
bert-base-uncased,scifact,random,20,0,5,0,-0.00044611908491026266,0.0,-0.023904800415039062
bert-base-uncased,scifact,greedy,1,0,5,0,0.009465855307640297,0.0,-0.005641162395477295
bert-base-uncased,scifact,greedy,10,0,5,0,0.009465855307640297,0.0,-0.005641162395477295
bert-base-uncased,scifact,greedy,20,0,5,0,0.009465855307640297,0.0,-0.005641162395477295
bert-base-uncased,scifact,ggpp,1,0,5,0,0.004341029185669436,0.0,0.06477272510528564
bert-base-uncased,scifact,ggpp,10,0,5,0,0.004341029185669436,0.0,0.06477272510528564
bert-base-uncased,scifact,ggpp,20,0,5,0,0.004341029185669436,0.0,0.06477272510528564
bert-base-uncased,scifact,de,1,0,2,150,0.14082874529121991,0.3333333333333333,-0.06281042098999023
bert-base-uncased,scifact,de,10,1,2,150,0.14082874529121991,0.3333333333333333,-0.06281042098999023
bert-base-uncased,scifact,de,20,1,2,150,0.14082874529121991,0.3333333333333333,-0.06281042098999023
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,0.0006903534609720178,0.0,-0.025557279586791992
bert-base-uncased,scifact,random,10,0,5,0,0.0006903534609720178,0.0,-0.025557279586791992
bert-base-uncased,scifact,random,20,0,5,0,0.0006903534609720178,0.0,-0.025557279586791992
bert-base-uncased,scifact,greedy,1,0,5,0,0.0864448051948052,0.27894294565112987,0.00868922472000122
bert-base-uncased,scifact,greedy,10,0,5,0,0.0864448051948052,0.27894294565112987,0.00868922472000122
bert-base-uncased,scifact,greedy,20,1,5,0,0.0864448051948052,0.27894294565112987,0.00868922472000122
bert-base-uncased,scifact,ggpp,1,0,5,0,0.19553571428571428,0.38685280723454163,0.14140409231185913
bert-base-uncased,scifact,ggpp,10,1,5,0,0.19553571428571428,0.38685280723454163,0.14140409231185913
bert-base-uncased,scifact,ggpp,20,1,5,0,0.19553571428571428,0.38685280723454163,0.14140409231185913
bert-base-uncased,scifact,de,1,0,1,49,0.13839285714285712,0.3333333333333333,0.08600717782974243
bert-base-uncased,scifact,de,10,1,1,49,0.13839285714285712,0.3333333333333333,0.08600717782974243
bert-base-uncased,scifact,de,20,1,1,49,0.13839285714285712,0.3333333333333333,0.08600717782974243
bert-base-uncased,scifact,none,1,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,10,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,none,20,0,0,0,0.0,0.0,0.0
bert-base-uncased,scifact,random,1,0,5,0,-0.026756931012250164,0.0,-0.11215519905090332
bert-base-uncased,scifact,random,10,0,5,0,-0.026756931012250164,0.0,-0.11215519905090332
