enc,bench,method,top_k,success,token_used,iter_used,delta_mrr,delta_ndcg,delta_cos
bert-base-uncased,scifact,random,1,0,5,0,5.868052644815154e-05,0.0,-0.06225419044494629
bert-base-uncased,scifact,random,10,0,5,0,5.868052644815154e-05,0.0,-0.06225419044494629
bert-base-uncased,scifact,random,20,0,5,0,5.868052644815154e-05,0.0,-0.06225419044494629
bert-base-uncased,scifact,greedy,1,0,3,0,0.025761204242216902,0.0,-0.15914958715438843
bert-base-uncased,scifact,greedy,10,0,3,0,0.025761204242216902,0.0,-0.15914958715438843
bert-base-uncased,scifact,greedy,20,0,3,0,0.025761204242216902,0.0,-0.15914958715438843
bert-base-uncased,scifact,ggpp,1,0,5,0,0.010498883097542815,0.0,-0.02665656805038452
bert-base-uncased,scifact,ggpp,10,0,5,0,0.010498883097542815,0.0,-0.02665656805038452
bert-base-uncased,scifact,ggpp,20,0,5,0,0.010498883097542815,0.0,-0.02665656805038452
bert-base-uncased,scifact,de,1,0,5,160,0.0017922811907250416,0.0,0.00242769718170166
bert-base-uncased,scifact,de,10,0,5,160,0.0017922811907250416,0.0,0.00242769718170166
bert-base-uncased,scifact,de,20,0,5,160,0.0017922811907250416,0.0,0.00242769718170166
